invoice_id,invoice_number,sales_order_id,invoice_date,invoice_amount,payment_status,created_date
76,INV000076,1682,2024-08-29 8:32:25,32385.52,Paid,2024-08-29 8:32:25
77,INV000077,3744,2025-05-16 0:24:52,13659.3,Overdue,2025-05-16 0:24:52
78,INV000078,4264,2025-03-15 12:48:36,0,Partially Paid,2025-03-15 12:48:36
79,INV000079,4516,2026-04-16 0:16:48,8227.72,Paid,2026-04-16 0:16:48
80,INV000080,1548,2024-12-24 22:01:47,136427.89,Overdue,2024-12-24 22:01:47
81,INV000081,184,2025-10-16 9:42:17,9231.54,Overdue,2025-10-16 9:42:17
82,INV000082,964,2024-12-09 8:24:39,74464.26,Overdue,2024-12-09 8:24:39
83,INV000083,117,2025-02-22 7:38:05,64085.99,Overdue,2025-02-22 7:38:05
84,INV000084,470,2026-02-02 10:28:50,75353.8,Paid,2026-02-02 10:28:50
85,INV000085,4535,2025-06-17 6:50:43,41056.71,Paid,2025-06-17 6:50:43
86,INV000086,1989,2025-03-01 18:52:15,80089.13,Partially Paid,2025-03-01 18:52:15
87,INV000087,615,2024-06-15 8:48:41,67048.44,Partially Paid,2024-06-15 8:48:41
88,INV000088,275,2025-09-07 0:05:06,68148.63,Paid,2025-09-07 0:05:06
89,INV000089,305,2024-09-16 13:26:38,195387.1,Overdue,2024-09-16 13:26:38
90,INV000090,4217,2025-04-08 7:47:46,88952.89,Overdue,2025-04-08 7:47:46
91,INV000091,2494,2026-02-10 12:04:08,54764.12,Paid,2026-02-10 12:04:08
92,INV000092,1108,2025-06-16 16:00:25,55649.79,Pending,2025-06-16 16:00:25
93,INV000093,2055,2026-01-14 0:37:43,22290.3,Paid,2026-01-14 0:37:43
94,INV000094,69,2025-05-31 11:20:37,21972.86,Overdue,2025-05-31 11:20:37
95,INV000095,2666,2024-12-19 20:20:13,104451.96,Pending,2024-12-19 20:20:13
96,INV000096,2608,2025-12-28 8:05:39,161847.24,Overdue,2025-12-28 8:05:39
97,INV000097,2040,2025-08-02 4:52:35,67548.24,Partially Paid,2025-08-02 4:52:35
98,INV000098,1197,2024-06-12 16:06:00,28231.05,Overdue,2024-06-12 16:06:00
99,INV000099,2959,2026-04-10 21:16:11,117553.28,Partially Paid,2026-04-10 21:16:11
100,INV000100,642,2024-11-24 22:52:45,73521.3,Overdue,2024-11-24 22:52:45
101,INV000101,2204,2026-03-23 14:17:21,61403,Paid,2026-03-23 14:17:21
102,INV000102,1273,2026-04-22 14:42:30,2550.24,Partially Paid,2026-04-22 14:42:30
103,INV000103,502,2025-05-17 8:34:19,177731.02,Paid,2025-05-17 8:34:19
104,INV000104,480,2025-03-08 20:40:03,20930.28,Pending,2025-03-08 20:40:03
105,INV000105,1059,2025-09-16 23:06:48,128025.87,Paid,2025-09-16 23:06:48
106,INV000106,2731,2025-02-13 17:00:40,111693.41,Pending,2025-02-13 17:00:40
107,INV000107,4824,2024-07-27 22:49:27,191377.27,Overdue,2024-07-27 22:49:27
108,INV000108,884,2024-06-01 4:39:45,130022.13,Partially Paid,2024-06-01 4:39:45
109,INV000109,3534,2025-03-27 5:42:11,102518.56,Paid,2025-03-27 5:42:11
110,INV000110,907,2025-08-14 19:17:46,43193.66,Paid,2025-08-14 19:17:46
111,INV000111,2523,2025-01-18 1:55:45,22941.62,Pending,2025-01-18 1:55:45
112,INV000112,1291,2024-10-13 4:25:42,134993.89,Overdue,2024-10-13 4:25:42
113,INV000113,310,2025-02-10 0:06:43,31191.83,Partially Paid,2025-02-10 0:06:43
114,INV000114,2809,2025-12-06 20:27:21,66279.19,Pending,2025-12-06 20:27:21
115,INV000115,3370,2025-09-16 15:00:07,83914.29,Paid,2025-09-16 15:00:07
116,INV000116,1080,2025-06-07 6:19:38,118572.42,Paid,2025-06-07 6:19:38
117,INV000117,3179,2024-11-08 8:19:03,29558.04,Partially Paid,2024-11-08 8:19:03
118,INV000118,4617,2025-08-04 6:08:02,164399.58,Overdue,2025-08-04 6:08:02
119,INV000119,4230,2025-11-27 7:04:25,216417.28,Paid,2025-11-27 7:04:25
120,INV000120,495,2024-07-08 3:57:45,50793.65,Paid,2024-07-08 3:57:45
121,INV000121,631,2025-05-13 0:45:59,24324.87,Paid,2025-05-13 0:45:59
122,INV000122,1350,2024-10-10 5:05:48,205907.35,Pending,2024-10-10 5:05:48
123,INV000123,1797,2024-10-30 21:51:59,5977.01,Paid,2024-10-30 21:51:59
124,INV000124,1005,2024-10-10 6:22:39,91661.5,Partially Paid,2024-10-10 6:22:39
125,INV000125,3726,2025-04-23 9:10:43,58237.44,Partially Paid,2025-04-23 9:10:43
126,INV000126,2763,2026-04-05 7:09:39,15047.37,Overdue,2026-04-05 7:09:39
127,INV000127,3197,2025-03-14 21:08:25,196920.4,Partially Paid,2025-03-14 21:08:25
128,INV000128,2014,2025-09-10 17:56:05,204954.51,Pending,2025-09-10 17:56:05
129,INV000129,1814,2025-11-05 22:06:16,138982.63,Pending,2025-11-05 22:06:16
130,INV000130,3181,2025-01-30 14:07:37,139416.86,Overdue,2025-01-30 14:07:37
131,INV000131,815,2025-01-29 11:57:23,32308.85,Overdue,2025-01-29 11:57:23
132,INV000132,1974,2025-01-14 2:49:08,57689.33,Overdue,2025-01-14 2:49:08
133,INV000133,2307,2025-07-06 9:05:43,78446.12,Partially Paid,2025-07-06 9:05:43
134,INV000134,1392,2024-08-24 19:35:10,0,Pending,2024-08-24 19:35:10
135,INV000135,4140,2025-08-11 10:51:31,178945.86,Paid,2025-08-11 10:51:31
136,INV000136,3987,2025-07-02 10:10:58,15513.76,Overdue,2025-07-02 10:10:58
137,INV000137,4938,2025-06-06 17:19:55,214992.19,Paid,2025-06-06 17:19:55
138,INV000138,2571,2024-07-26 8:11:29,125111.14,Pending,2024-07-26 8:11:29
139,INV000139,4198,2026-03-02 9:16:14,84417.16,Paid,2026-03-02 9:16:14
140,INV000140,2808,2025-08-10 16:24:49,60448.56,Overdue,2025-08-10 16:24:49
141,INV000141,61,2026-01-24 5:35:11,54829.27,Overdue,2026-01-24 5:35:11
142,INV000142,1326,2025-04-29 3:25:18,87254.07,Paid,2025-04-29 3:25:18
143,INV000143,3572,2024-11-01 5:19:38,43088.17,Pending,2024-11-01 5:19:38
144,INV000144,3255,2025-06-09 14:49:28,52228.66,Pending,2025-06-09 14:49:28
145,INV000145,2715,2025-06-22 4:02:56,73197.56,Partially Paid,2025-06-22 4:02:56
146,INV000146,4030,2025-12-09 12:18:17,133624.58,Pending,2025-12-09 12:18:17
147,INV000147,703,2025-07-05 6:50:54,131751.19,Paid,2025-07-05 6:50:54
148,INV000148,4112,2025-03-07 13:43:22,34408.43,Partially Paid,2025-03-07 13:43:22
149,INV000149,1516,2025-03-23 18:19:47,19080.9,Partially Paid,2025-03-23 18:19:47
150,INV000150,2349,2026-03-27 4:27:34,47009.82,Paid,2026-03-27 4:27:34
151,INV000151,413,2024-10-12 4:08:28,72618.04,Overdue,2024-10-12 4:08:28
152,INV000152,4776,2024-11-16 8:38:13,103478.96,Paid,2024-11-16 8:38:13
153,INV000153,2866,2025-02-18 7:36:07,0,Partially Paid,2025-02-18 7:36:07
154,INV000154,4691,2024-05-24 14:14:10,56941.37,Paid,2024-05-24 14:14:10
155,INV000155,3057,2025-09-29 15:30:36,32250,Overdue,2025-09-29 15:30:36
156,INV000156,2754,2025-04-13 20:02:09,112744.24,Paid,2025-04-13 20:02:09
157,INV000157,4521,2025-12-23 2:15:17,33302.31,Overdue,2025-12-23 2:15:17
158,INV000158,4858,2024-10-30 9:31:13,6361.34,Overdue,2024-10-30 9:31:13
159,INV000159,3016,2025-07-29 14:23:55,73020.05,Pending,2025-07-29 14:23:55
160,INV000160,3475,2026-03-16 15:37:22,252749.14,Overdue,2026-03-16 15:37:22
161,INV000161,2022,2024-09-02 14:45:13,109074.73,Overdue,2024-09-02 14:45:13
162,INV000162,1152,2025-09-22 23:13:48,54950.77,Pending,2025-09-22 23:13:48
163,INV000163,787,2026-04-10 10:38:11,57402.36,Partially Paid,2026-04-10 10:38:11
164,INV000164,1625,2024-07-28 12:09:05,23222.32,Pending,2024-07-28 12:09:05
165,INV000165,4520,2024-12-31 10:10:34,43985.2,Overdue,2024-12-31 10:10:34
166,INV000166,1160,2025-05-09 21:32:19,251210.6,Overdue,2025-05-09 21:32:19
167,INV000167,4297,2026-03-13 20:17:03,126194.46,Partially Paid,2026-03-13 20:17:03
168,INV000168,1406,2026-04-04 9:16:39,182214.75,Paid,2026-04-04 9:16:39
169,INV000169,1328,2025-03-04 18:40:51,87993.46,Paid,2025-03-04 18:40:51
170,INV000170,1270,2025-11-07 5:43:48,19979.6,Paid,2025-11-07 5:43:48
171,INV000171,3760,2026-04-11 11:20:03,18615.1,Pending,2026-04-11 11:20:03
172,INV000172,3146,2026-02-24 8:47:58,78964.23,Overdue,2026-02-24 8:47:58
173,INV000173,872,2024-10-25 0:14:43,53995.63,Pending,2024-10-25 0:14:43
174,INV000174,2153,2024-06-21 18:19:16,103523.27,Pending,2024-06-21 18:19:16
175,INV000175,269,2024-07-03 13:30:48,42873.9,Overdue,2024-07-03 13:30:48
176,INV000176,2750,2024-08-18 8:59:38,16347.03,Partially Paid,2024-08-18 8:59:38
177,INV000177,4225,2025-09-13 19:07:57,153656.17,Paid,2025-09-13 19:07:57
178,INV000178,2001,2025-12-08 2:53:41,0,Paid,2025-12-08 2:53:41
179,INV000179,2384,2025-05-05 14:40:03,19868.64,Overdue,2025-05-05 14:40:03
180,INV000180,3111,2025-07-15 1:08:09,45116.5,Pending,2025-07-15 1:08:09
181,INV000181,3055,2025-11-12 17:35:22,156934.96,Pending,2025-11-12 17:35:22
182,INV000182,497,2024-06-10 10:11:37,67643.91,Pending,2024-06-10 10:11:37
183,INV000183,496,2025-12-23 7:51:12,202653.71,Pending,2025-12-23 7:51:12
184,INV000184,2299,2025-05-12 11:18:53,203102.12,Paid,2025-05-12 11:18:53
185,INV000185,1800,2024-10-11 16:15:07,0,Paid,2024-10-11 16:15:07
186,INV000186,125,2024-09-19 13:28:43,125582.05,Paid,2024-09-19 13:28:43
187,INV000187,927,2025-11-03 3:28:38,83287.26,Pending,2025-11-03 3:28:38
188,INV000188,540,2025-05-15 4:26:47,0,Overdue,2025-05-15 4:26:47
189,INV000189,3476,2025-05-01 11:04:20,183795.18,Overdue,2025-05-01 11:04:20
190,INV000190,2519,2026-01-17 5:21:04,10909.11,Pending,2026-01-17 5:21:04
191,INV000191,686,2025-08-16 13:26:37,199921.94,Overdue,2025-08-16 13:26:37
192,INV000192,2035,2025-08-18 23:21:44,3707.44,Partially Paid,2025-08-18 23:21:44
193,INV000193,3917,2024-12-04 4:14:50,24374.72,Paid,2024-12-04 4:14:50
194,INV000194,3042,2025-06-13 12:32:11,113731,Overdue,2025-06-13 12:32:11
195,INV000195,1132,2025-10-10 13:50:32,56546.71,Pending,2025-10-10 13:50:32
196,INV000196,3920,2024-09-16 1:23:33,113786.57,Partially Paid,2024-09-16 1:23:33
197,INV000197,193,2024-11-10 8:20:38,182977.72,Pending,2024-11-10 8:20:38
198,INV000198,3502,2025-09-15 15:22:22,109533.34,Paid,2025-09-15 15:22:22
199,INV000199,2505,2026-03-02 20:02:41,62536.79,Partially Paid,2026-03-02 20:02:41
200,INV000200,3273,2024-11-18 13:52:05,24266.92,Partially Paid,2024-11-18 13:52:05
201,INV000201,4782,2024-09-28 11:19:47,29631.64,Partially Paid,2024-09-28 11:19:47
202,INV000202,1506,2025-07-25 12:44:55,144534.26,Overdue,2025-07-25 12:44:55
203,INV000203,3301,2026-02-03 18:40:05,60432.73,Partially Paid,2026-02-03 18:40:05
204,INV000204,2505,2025-02-03 22:36:50,62536.79,Paid,2025-02-03 22:36:50
205,INV000205,522,2025-12-03 10:29:42,102039.81,Pending,2025-12-03 10:29:42
206,INV000206,2849,2025-11-08 15:09:03,32243.78,Paid,2025-11-08 15:09:03
207,INV000207,3669,2024-12-24 21:26:10,315056.06,Partially Paid,2024-12-24 21:26:10
208,INV000208,2376,2025-01-20 3:34:17,58228.31,Partially Paid,2025-01-20 3:34:17
209,INV000209,3701,2024-08-30 18:02:47,82559.12,Pending,2024-08-30 18:02:47
210,INV000210,3664,2025-06-25 8:21:06,132043.95,Partially Paid,2025-06-25 8:21:06
211,INV000211,1557,2026-03-02 23:28:56,9436.08,Pending,2026-03-02 23:28:56
212,INV000212,4627,2025-02-03 17:20:06,36270.36,Partially Paid,2025-02-03 17:20:06
213,INV000213,4146,2025-12-05 7:10:48,105870.56,Paid,2025-12-05 7:10:48
214,INV000214,329,2026-03-11 15:44:25,98728.41,Partially Paid,2026-03-11 15:44:25
215,INV000215,928,2026-03-25 0:35:26,94892.92,Paid,2026-03-25 0:35:26
216,INV000216,2316,2025-04-05 16:02:20,0,Partially Paid,2025-04-05 16:02:20
217,INV000217,2574,2025-09-22 23:58:52,142457.94,Paid,2025-09-22 23:58:52
218,INV000218,2918,2025-06-20 15:40:20,3731.57,Pending,2025-06-20 15:40:20
219,INV000219,1050,2025-08-09 19:22:30,171203.04,Paid,2025-08-09 19:22:30
220,INV000220,780,2025-08-13 4:13:55,2173.85,Paid,2025-08-13 4:13:55
221,INV000221,1180,2025-11-09 22:25:15,107965.24,Partially Paid,2025-11-09 22:25:15
222,INV000222,68,2024-08-01 17:01:49,77497.73,Overdue,2024-08-01 17:01:49
223,INV000223,1167,2025-04-02 1:43:34,134782.87,Pending,2025-04-02 1:43:34
224,INV000224,3026,2026-04-03 6:16:04,34801.94,Pending,2026-04-03 6:16:04
225,INV000225,1929,2025-11-01 8:49:41,86761.98,Pending,2025-11-01 8:49:41
226,INV000226,1723,2024-11-04 2:08:41,82533.72,Paid,2024-11-04 2:08:41
227,INV000227,2495,2025-06-23 6:30:57,150735.58,Pending,2025-06-23 6:30:57
228,INV000228,1739,2026-04-05 11:30:13,137056.08,Paid,2026-04-05 11:30:13
229,INV000229,3329,2024-08-13 3:19:54,90466.93,Paid,2024-08-13 3:19:54
230,INV000230,3534,2025-06-30 0:39:12,102518.56,Partially Paid,2025-06-30 0:39:12
231,INV000231,3864,2026-01-18 19:31:18,145365.4,Overdue,2026-01-18 19:31:18
232,INV000232,2519,2024-07-14 0:13:37,10909.11,Partially Paid,2024-07-14 0:13:37
233,INV000233,4770,2024-09-13 8:15:40,712.38,Partially Paid,2024-09-13 8:15:40
234,INV000234,325,2024-07-23 21:37:52,5992.87,Partially Paid,2024-07-23 21:37:52
235,INV000235,938,2025-01-24 20:05:57,45056.13,Paid,2025-01-24 20:05:57
236,INV000236,4945,2025-07-13 7:29:18,75827.85,Overdue,2025-07-13 7:29:18
237,INV000237,557,2026-01-07 2:15:01,19826.1,Paid,2026-01-07 2:15:01
238,INV000238,965,2024-09-09 5:19:18,65821.76,Overdue,2024-09-09 5:19:18
239,INV000239,4048,2024-06-03 2:43:16,74551.91,Partially Paid,2024-06-03 2:43:16
240,INV000240,1052,2025-01-29 12:06:36,27401.2,Pending,2025-01-29 12:06:36
241,INV000241,4776,2026-04-22 8:11:32,103478.96,Paid,2026-04-22 8:11:32
242,INV000242,1616,2026-01-02 12:18:46,0,Partially Paid,2026-01-02 12:18:46
243,INV000243,963,2026-04-06 9:34:39,335071.34,Overdue,2026-04-06 9:34:39
244,INV000244,3023,2025-01-08 23:37:02,12979.8,Partially Paid,2025-01-08 23:37:02
245,INV000245,86,2025-08-05 0:21:10,12159.43,Pending,2025-08-05 0:21:10
246,INV000246,3296,2025-03-06 16:18:51,66763.97,Overdue,2025-03-06 16:18:51
247,INV000247,1067,2026-04-09 21:23:31,51344.83,Pending,2026-04-09 21:23:31
248,INV000248,3304,2024-05-22 19:04:24,181073.93,Pending,2024-05-22 19:04:24
249,INV000249,2477,2026-02-08 22:01:01,11075.4,Overdue,2026-02-08 22:01:01
250,INV000250,4174,2025-11-04 11:10:28,156131.31,Overdue,2025-11-04 11:10:28
251,INV000251,3083,2024-11-28 3:50:42,27714.03,Pending,2024-11-28 3:50:42
252,INV000252,3654,2025-06-30 4:43:26,72760.03,Paid,2025-06-30 4:43:26
253,INV000253,2304,2025-10-28 14:13:39,21157.71,Partially Paid,2025-10-28 14:13:39
254,INV000254,4518,2026-03-14 5:42:15,143827.27,Partially Paid,2026-03-14 5:42:15
255,INV000255,2838,2025-09-28 6:11:42,73821.63,Paid,2025-09-28 6:11:42
256,INV000256,4253,2025-01-10 4:50:25,66663.19,Paid,2025-01-10 4:50:25
257,INV000257,2925,2025-02-12 0:27:11,2269.68,Partially Paid,2025-02-12 0:27:11
258,INV000258,537,2024-07-25 12:15:26,4444.55,Paid,2024-07-25 12:15:26
259,INV000259,4078,2024-05-27 22:00:52,57611.21,Overdue,2024-05-27 22:00:52
260,INV000260,2514,2024-06-15 9:21:16,23674.92,Overdue,2024-06-15 9:21:16
261,INV000261,403,2024-08-29 18:07:28,57590.05,Paid,2024-08-29 18:07:28
262,INV000262,1280,2025-04-14 17:30:01,154724.6,Partially Paid,2025-04-14 17:30:01
263,INV000263,2134,2025-11-23 17:51:36,0,Overdue,2025-11-23 17:51:36
264,INV000264,1393,2024-09-22 5:47:05,35012.75,Overdue,2024-09-22 5:47:05
265,INV000265,2514,2026-01-12 18:13:26,23674.92,Pending,2026-01-12 18:13:26
266,INV000266,3618,2024-06-19 0:30:46,167416.21,Pending,2024-06-19 0:30:46
267,INV000267,3327,2026-04-27 8:22:52,133513.02,Partially Paid,2026-04-27 8:22:52
268,INV000268,3505,2024-10-17 9:35:00,85278.42,Paid,2024-10-17 9:35:00
269,INV000269,2348,2025-08-14 3:06:58,17850.63,Overdue,2025-08-14 3:06:58
270,INV000270,4414,2024-08-20 2:46:26,143814.74,Partially Paid,2024-08-20 2:46:26
271,INV000271,3757,2025-04-05 21:21:19,105216.41,Paid,2025-04-05 21:21:19
272,INV000272,980,2024-12-08 3:08:46,111925.23,Paid,2024-12-08 3:08:46
273,INV000273,3336,2024-12-03 5:49:17,74376.68,Paid,2024-12-03 5:49:17
274,INV000274,4310,2025-06-13 11:35:47,15911.7,Pending,2025-06-13 11:35:47
275,INV000275,4013,2026-04-03 14:08:29,47491.6,Partially Paid,2026-04-03 14:08:29
276,INV000276,1805,2025-04-20 4:39:28,123847.07,Overdue,2025-04-20 4:39:28
277,INV000277,3649,2024-10-26 21:58:03,116370.46,Partially Paid,2024-10-26 21:58:03
278,INV000278,2362,2026-01-11 17:32:17,68930.23,Partially Paid,2026-01-11 17:32:17
279,INV000279,3590,2024-12-18 22:20:06,50468.28,Overdue,2024-12-18 22:20:06
280,INV000280,3072,2025-12-08 7:00:06,66815.9,Pending,2025-12-08 7:00:06
281,INV000281,3792,2024-08-14 19:29:12,6959.98,Pending,2024-08-14 19:29:12
282,INV000282,1986,2025-10-15 21:49:15,72197.18,Paid,2025-10-15 21:49:15
283,INV000283,4232,2026-04-13 12:54:08,70713.33,Paid,2026-04-13 12:54:08
284,INV000284,2603,2024-05-30 8:18:45,0,Partially Paid,2024-05-30 8:18:45
285,INV000285,4060,2025-12-31 15:12:12,106001.81,Overdue,2025-12-31 15:12:12
286,INV000286,2334,2024-12-10 9:15:29,173515.14,Paid,2024-12-10 9:15:29
287,INV000287,1750,2026-04-15 5:16:15,58809.7,Overdue,2026-04-15 5:16:15
288,INV000288,2272,2024-07-02 4:56:33,79366.67,Overdue,2024-07-02 4:56:33
289,INV000289,2815,2025-01-02 10:16:32,103007.43,Partially Paid,2025-01-02 10:16:32
290,INV000290,4893,2025-06-18 18:36:38,45637.51,Partially Paid,2025-06-18 18:36:38
291,INV000291,245,2025-05-25 6:16:55,180703.15,Partially Paid,2025-05-25 6:16:55
292,INV000292,4925,2025-08-05 7:06:49,21096.01,Paid,2025-08-05 7:06:49
293,INV000293,3901,2024-06-08 16:37:13,125241.98,Partially Paid,2024-06-08 16:37:13
294,INV000294,453,2026-03-10 12:27:33,0,Overdue,2026-03-10 12:27:33
295,INV000295,3058,2026-04-05 8:03:31,398744.42,Overdue,2026-04-05 8:03:31
296,INV000296,1725,2025-01-31 11:53:50,8049.36,Paid,2025-01-31 11:53:50
297,INV000297,162,2024-08-25 9:21:40,0,Paid,2024-08-25 9:21:40
298,INV000298,3973,2025-05-31 16:06:30,57577.12,Pending,2025-05-31 16:06:30
299,INV000299,851,2025-05-17 21:24:04,8684.69,Overdue,2025-05-17 21:24:04
300,INV000300,855,2025-06-11 22:47:41,28710.89,Pending,2025-06-11 22:47:41
301,INV000301,3857,2025-12-02 0:44:01,127803.34,Pending,2025-12-02 0:44:01
302,INV000302,2880,2026-03-03 17:20:28,14945.85,Pending,2026-03-03 17:20:28
303,INV000303,889,2024-10-01 20:00:12,1158.25,Pending,2024-10-01 20:00:12
304,INV000304,4708,2026-02-05 3:10:11,186992.61,Overdue,2026-02-05 3:10:11
305,INV000305,3129,2026-02-20 0:52:41,82356.9,Partially Paid,2026-02-20 0:52:41
